nivel;classe;padrao;vb;gdac;gdac_80;gdac_100;auxilio_alimentacao;ativo_80;ativo_100;gdac_50;aposentado_50;vigencia
SUPERIOR;A;IV;2873.88;43.88;3510.4;4388;1175;7559.28;8436.88;2194;5067.88;01/01/2025
SUPERIOR;A;III;2792.89;43.19;3455.2;4319;1175;7423.09;8286.89;2159.5;4952.39;01/01/2025
SUPERIOR;A;II;2714.18;42.49;3399.2;4249;1175;7288.38;8138.18;2124.5;4838.68;01/01/2025
SUPERIOR;A;I;2637.69;41.81;3344.8;4181;1175;7157.49;7993.69;2090.5;4728.19;01/01/2025
SUPERIOR;ESPECIAL;V;4999.29;64.26;5140.8;6426;1175;11315.09;12600.29;3213;8212.29;01/04/2026
SUPERIOR;ESPECIAL;IV;4853.68;63.1;5048;6310;1175;11076.68;12338.68;3155;8008.68;01/04/2026
SUPERIOR;ESPECIAL;III;4712.31;61.96;4956.8;6196;1175;10844.11;12083.31;3098;7810.31;01/04/2026
SUPERIOR;ESPECIAL;II;4575.06;59.69;4775.2;5969;1175;10525.26;11719.06;2984.5;7559.56;01/04/2026
SUPERIOR;ESPECIAL;I;4441.81;58.63;4690.4;5863;1175;10307.21;11479.81;2931.5;7373.31;01/04/2026
SUPERIOR;C;V;4270.97;57.6;4608;5760;1175;10053.97;11205.97;2880;7150.97;01/04/2026
SUPERIOR;C;IV;4146.57;56.6;4528;5660;1175;9849.57;10981.57;2830;6976.57;01/04/2026
SUPERIOR;C;III;4025.8;55.62;4449.6;5562;1175;9650.4;10762.8;2781;6806.8;01/04/2026
SUPERIOR;C;II;3908.54;54.66;4372.8;5466;1175;9456.34;10549.54;2733;6641.54;01/04/2026
SUPERIOR;C;I;3794.7;52.72;4217.6;5272;1175;9187.3;10241.7;2636;6430.7;01/04/2026
SUPERIOR;B;V;3648.75;51.83;4146.4;5183;1175;8970.15;10006.75;2591.5;6240.25;01/04/2026
SUPERIOR;B;IV;3542.48;50.96;4076.8;5096;1175;8794.28;9813.48;2548;6090.48;01/04/2026
SUPERIOR;B;III;3439.3;50.12;4009.6;5012;1175;8623.9;9626.3;2506;5945.3;01/04/2026
SUPERIOR;B;II;3339.13;49.28;3942.4;4928;1175;8456.53;9442.13;2464;5803.13;01/04/2026
SUPERIOR;B;I;3241.87;48.47;3877.6;4847;1175;8294.47;9263.87;2423.5;5665.37;01/04/2026
SUPERIOR;A;V;3117.18;46.83;3746.4;4683;1175;8038.58;8975.18;2341.5;5458.68;01/04/2026
SUPERIOR;A;IV;3026.39;46.08;3686.4;4608;1175;7887.79;8809.39;2304;5330.39;01/04/2026
SUPERIOR;A;III;2938.24;45.35;3628;4535;1175;7741.24;8648.24;2267.5;5205.74;01/04/2026
SUPERIOR;A;II;2852.66;44.61;3568.8;4461;1175;7596.46;8488.66;2230.5;5083.16;01/04/2026
SUPERIOR;A;I;2769.57;43.9;3512;4390;1175;7456.57;8334.57;2195;4964.57;01/04/2026
SUPERIOR;CLASSE;PADRÃO;VB (A);GDAC;GDAC 80 pts. (B);GDAC 100 pts. (C);AUXÍLIO ALIMENT. (H);ATIVO 80 pts. (D=A+B);ATIVO 100 pts. (E=A+C);GDAC 50 pts. (F);APOSENTADO 50 pts. (G=A+F);01/04/2026
SUPERIOR;ESPECIAL;V;9716.48;64.26;5140.8;6426;1175;16032.28;17317.48;3213;12929.48;01/04/2026
SUPERIOR;ESPECIAL;IV;9536.06;58;4640;5800;1175;15351.06;16511.06;2900;12436.06;01/04/2026
SUPERIOR;ESPECIAL;III;9469.54;55.5;4440;5550;1175;15084.54;16194.54;2775;12244.54;01/04/2026
SUPERIOR;ESPECIAL;II;9333.88;53;4240;5300;1175;14748.88;15808.88;2650;11983.88;01/04/2026
SUPERIOR;ESPECIAL;I;9175.04;52;4160;5200;1175;14510.04;15550.04;2600;11775.04;01/04/2026
SUPERIOR;C;V;9021.41;47;3760;4700;1175;13956.41;14896.41;2350;11371.41;01/04/2026
SUPERIOR;C;IV;8869.69;45;3600;4500;1175;13644.69;14544.69;2250;11119.69;01/04/2026
SUPERIOR;C;III;8721.93;43;3440;4300;1175;13336.93;14196.93;2150;10871.93;01/04/2026
SUPERIOR;C;II;8578.08;40.5;3240;4050;1175;12993.08;13803.08;2025;10603.08;01/04/2026
SUPERIOR;C;I;8315.88;39;3120;3900;1175;12610.88;13390.88;1950;10265.88;01/04/2026
SUPERIOR;B;V;8179.76;34;2720;3400;1175;12074.76;12754.76;1700;9879.76;01/04/2026
SUPERIOR;B;IV;8047.32;31;2480;3100;1175;11702.32;12322.32;1550;9597.32;01/04/2026
SUPERIOR;B;III;7817.39;30.5;2440;3050;1175;11432.39;12042.39;1525;9342.39;01/04/2026
SUPERIOR;B;II;7507.6;30;2400;3000;1175;11082.6;11682.6;1500;9007.6;01/04/2026
SUPERIOR;B;I;7189.53;29;2320;2900;1175;10684.53;11264.53;1450;8639.53;01/04/2026
SUPERIOR;A;V;6649.83;28.5;2280;2850;1175;10104.83;10674.83;1425;8074.83;01/04/2026
SUPERIOR;A;IV;6647.99;25;2000;2500;1175;9822.99;10322.99;1250;7897.99;01/04/2026
SUPERIOR;A;III;6645.04;23;1840;2300;1175;9660.04;10120.04;1150;7795.04;01/04/2026
SUPERIOR;A;II;6643.9;21.5;1720;2150;1175;9538.9;9968.9;1075;7718.9;01/04/2026
SUPERIOR;A;I;6550;19.5;1560;1950;1175;9285;9675;975;7525;01/04/2026
